creditscore,annualgrossrevenue,grossrevattimeofinv,naicscode,entitystructure,investeetype,bankedatintake,jobstimeofinvestment,business_age_years,original_note_amount,current_interest_rate,starting_interest_rate,loan_type,portfolio_code_id,loan_group_no,entity,risk_rating_no,loan_age_months,times_renewed,times_extended,current_principal_balance,current_payoff_balance,contractualjurisdiction,is_default
679,738051.84,793268.51,445110,1,1,0,8,9.3,218871.25,9.4199,10.6418,2,5,8,Corp,3,35.1,1,2,160199.85,158166.37,FL,0
562,700359.66,600558.58,621111,4,2,0,3,7.6,69304.1,16.0224,15.7259,7,1,2,LLC,9,31.9,0,2,36598.29,32529.31,OH,1
604,830955.47,1027288.82,621111,4,2,0,15,15.4,306967.42,9.1215,10.4693,8,6,6,Sole Proprietor,6,21.5,2,4,173774.6,180745.31,WA,1
614,301531.41,354029.45,238210,3,4,0,9,10.4,213137,10.4414,10.6364,8,5,5,LLC,6,1,2,5,110350.99,105856.13,GA,1
507,492975.75,481566.1,484110,6,4,0,3,3.9,157178.48,12.3118,12.6659,3,6,3,Sole Proprietor,9,38.1,0,3,114335.75,105667.32,OH,1
721,700715.67,777754.69,541511,2,3,1,16,19,165375.82,12.7999,14.5069,8,4,1,LLC,3,26.4,1,1,92887.97,93281.82,TX,0
651,654932.95,568636.94,445110,6,4,0,22,20.4,96298.11,3.5,3.3812,6,5,4,LLC,3,32.9,0,1,46270.3,39403.82,IL,0
668,785101.91,926733.44,531210,5,2,0,11,14.6,79912.28,5.4936,5.409,1,3,5,Sole Proprietor,3,29.2,0,1,68170.99,62129.16,NC,0
701,656238.43,770020.81,445110,4,1,0,13,4.3,210566.54,3.5,3.5179,4,3,9,Partnership,2,7.9,1,0,195808.98,179974.89,CA,0
643,538887.31,566652.23,236220,6,5,0,5,6.3,75108.9,13.1241,13.8916,3,6,6,LLC,6,38.6,1,0,44683.07,46266.09,OH,1
762,600610.61,712867.2,722511,1,5,0,9,8,112632.7,15.7266,16.2438,3,2,8,Partnership,3,22.9,1,2,104146.58,106031.28,AZ,0
624,781544.85,686420.99,621111,4,4,1,18,1.6,418539.18,14.9894,13.5023,7,6,4,Corp,2,54.7,1,4,247163.58,242247.9,AZ,1
505,476360.31,520639.99,722511,2,1,1,7,11.3,50072.21,16.5158,16.0245,6,2,3,LLC,4,6.6,3,2,25522.63,22485.28,NY,1
632,1400776.18,1606188,531210,2,4,1,17,15.1,201678.24,5.7624,5.6964,3,5,4,Corp,3,20.1,0,0,150104.3,137528.35,AZ,0
703,1660020.93,1469323.38,541511,3,4,0,17,15.5,106938.46,12.3471,13.6542,3,2,5,Corp,2,36.8,1,0,65259.25,66811.33,NC,0
804,1175033.86,1158517.15,541511,2,4,0,19,11.3,77599.68,11.6003,12.7631,4,4,2,Partnership,3,12.6,0,2,59371.65,57536.8,NY,0
748,1117320.42,969886.51,541511,2,3,0,13,17.2,281571.32,12.1596,13.4412,5,5,3,Partnership,3,31.5,1,0,190653.32,167830.94,NY,0
643,499694.92,456123.79,531210,5,4,0,6,14.4,103046.38,11.0638,12.0225,7,4,1,Partnership,9,28.9,1,1,64885.16,60850.57,NY,1
626,438485.01,516139.81,484110,2,4,0,40,9.9,140887.39,10.1664,10.4051,6,6,2,Corp,3,27,1,1,124581.8,124253.69,OH,0
682,1066696,1107487.88,621111,3,3,1,7,13.2,129119.1,6.6589,6.9919,1,3,6,Corp,5,38.7,0,1,86123.67,88121.13,CA,0
685,2276610.82,2027203.94,484110,2,4,0,12,8.6,82119.76,8.3442,8.852,8,6,3,Sole Proprietor,2,16.4,1,1,72505.62,68962.61,OH,0
647,759064.61,929312.53,531210,3,3,0,0,3.5,122154.58,12.2579,11.3411,1,6,6,Sole Proprietor,4,23,2,3,81031.31,71738.96,FL,1
617,1142454.2,1309339.12,238210,1,5,0,25,15.2,210530.63,12.3843,13.7425,8,1,2,Sole Proprietor,2,45.2,0,2,97260.1,89917.97,OH,0
557,2097881.64,2014621.96,541511,2,2,1,4,3.6,154044.1,6.5829,7.1807,3,5,4,Corp,9,53.4,2,2,113455.5,107184.86,GA,1
521,465369.89,415711.29,722511,5,4,1,20,13,187187.54,11.5214,12.9845,8,6,6,LLC,6,40.9,2,3,88233.08,81668.81,FL,1
656,241468.65,282774.27,722511,3,5,1,19,7,289388.01,8.5,8.4036,8,3,8,Partnership,6,39.1,1,1,198829.49,185865.06,AZ,1
526,1051721.95,955873.85,531210,5,2,1,7,7.5,112778.71,12.2909,11.9526,4,6,1,LLC,8,35.7,1,3,76686.63,80364.05,NC,1
634,1563280.11,1814091.45,445110,1,1,0,3,8.5,277109.2,8.0894,8.2538,3,2,6,Corp,4,1,2,0,237220.63,207833.6,NC,0
729,1027717.29,1058210.4,531210,4,3,1,23,7.9,135151.75,6.969,6.912,3,5,8,Corp,1,28.4,0,0,76719.53,65463.82,OH,0
689,890850.01,799359.16,621111,6,1,1,27,19.6,315663.39,8.6438,9.1239,5,4,3,Partnership,1,23.9,0,3,157214.02,139731.51,CA,0
563,611859.4,520670.66,445110,4,1,1,8,5.3,140095.18,12.536,13.5522,2,4,9,LLC,8,41.6,1,4,102050.03,103349.7,NY,1
641,433697.92,415756.72,484110,5,1,0,12,6,158323.22,11.0145,11.8256,3,6,2,Corp,8,20.9,0,2,142197.72,135794.81,IL,1
739,1240129.86,1129151.31,236220,3,1,1,26,8.7,103572.03,11.6477,11.8524,2,3,6,Corp,5,6.1,1,1,66574.37,59423.7,WA,0
758,1391789.3,1351450.44,722511,2,3,0,23,11.7,260282.6,8.0517,7.5944,1,3,8,Corp,1,29.4,1,1,183773.19,179291.74,WA,0
648,1594128.27,1425222.13,531210,2,1,1,6,4.9,377435.79,8.3338,9.2823,3,5,3,Corp,9,19.8,0,1,358429.24,349527.61,FL,1
709,2681045.44,3019216.47,238210,3,5,1,9,13.5,197800.04,8.9386,9.6614,3,1,1,Corp,7,25.6,2,1,119393.49,110982.56,AZ,0
643,1094189.63,1202335.62,541511,6,5,0,20,5.8,164390.61,5.6701,5.3342,8,1,7,Partnership,5,26.5,0,1,112148.86,111036.32,IL,0
576,224148.63,244793.09,541511,3,2,0,6,3.9,71763.38,10.4338,11.7863,6,4,3,Sole Proprietor,3,27.2,2,2,47099.05,40366,OH,1
680,1512046.23,1483826.51,722511,3,2,1,22,9.6,163048.19,6.2942,6.3535,8,4,3,Partnership,4,5.6,3,1,102060.27,98829.66,AZ,0
730,860503.64,733095.25,722511,3,5,1,15,13,111173.52,10.7855,11.2723,7,5,3,Sole Proprietor,6,17.6,2,0,94719.01,91674.64,NC,0
571,400598.46,374829.98,531210,5,1,0,11,4,193112.33,15.0451,16.5547,5,5,5,Corp,5,44.3,0,0,139442.89,120293.7,TX,1
572,1416542.58,1472599.56,445110,6,2,1,15,2.5,130846.06,14.377,14.4215,1,4,8,LLC,5,26.8,1,0,118929.91,124500.23,NY,1
598,1031063.1,1230557.9,236220,3,2,0,6,10.4,226431.28,16.2339,15.0314,4,5,4,Sole Proprietor,7,36.1,4,1,143456.97,146147.78,FL,1
696,704323.52,785666.52,484110,5,2,1,15,16.4,200950.71,13.0491,12.1654,4,2,2,Sole Proprietor,2,15.3,2,0,100422.03,103405.34,TX,0
726,1993127.77,2353579.59,722511,3,1,1,19,14.1,140178.41,3.5223,3.6947,8,6,6,Partnership,2,23.7,0,3,82482.43,72160.17,TX,0
746,1029813.02,1264638.85,541511,3,4,1,15,23.9,162903.38,8.8913,8.4953,7,3,4,Partnership,5,21.5,0,2,80908.98,72344.33,WA,0
643,1120199.94,1045981.19,238210,4,3,1,13,6.3,84696.77,5.8474,6.0731,7,4,9,Corp,2,9.1,1,0,65453.96,56807.37,AZ,0
701,565114.82,648269.56,541511,6,1,0,21,5.7,123844.48,12.6215,14.2717,2,5,5,Partnership,5,29.5,0,4,66358.2,58036.14,NY,1
629,227157.29,232723.49,484110,2,1,1,5,0.5,144073.47,17.4427,16.4654,7,4,9,Sole Proprietor,6,14.6,2,0,78243.6,77822.03,NC,1
603,888839.91,1065578.37,484110,4,3,0,18,0.5,180320.51,13.7822,14.7947,2,6,8,LLC,5,34.2,1,4,108686.44,97836.34,NY,1
635,277761.99,331284.59,238210,1,5,1,15,8,262866.2,16.3048,16.3319,5,3,2,Sole Proprietor,6,29.5,1,1,166807.36,156110.7,CA,1
589,1136528.76,1339176.08,484110,5,5,0,0,12.7,244739.61,14.8836,16.6165,1,6,4,LLC,7,33.9,0,2,132854,115040.29,WA,1
545,277789.95,308626.76,621111,3,5,0,5,3,104114.54,12.2956,11.842,1,1,3,Corp,6,36.7,0,3,60357.27,51848.99,WA,1
673,2396551.81,2964785.8,238210,4,2,1,13,11.7,245952.33,10.6089,10.8489,1,5,2,Sole Proprietor,4,20.9,1,0,113377.96,110048.98,NC,0
600,341007.86,359770.51,484110,3,2,1,0,11.1,187951.96,6.4296,6.8004,6,4,9,Corp,6,19.8,2,2,92884.94,83572.12,OH,1
569,819045.9,738932.58,238210,3,1,0,21,11.5,391500.97,12.9769,13.8748,3,4,2,Corp,8,25.5,3,3,342809.8,312272.06,NY,1
705,2811079.62,2570838.49,531210,5,5,1,20,15.8,199865.47,10.2504,11.746,6,3,5,Sole Proprietor,3,5.2,0,0,163184.32,164425.36,NY,0
658,740366.48,663460.31,238210,2,3,1,18,11.7,327947.38,9.2387,9.054,2,5,7,Partnership,6,37.2,1,2,277758.89,251792.03,TX,1
617,1834161.88,1820500.19,236220,1,3,1,8,15.6,271891.88,5.9428,6.0816,8,6,4,Partnership,5,14,0,0,126337.14,130067.99,WA,0
595,725729.25,645926.13,531210,4,3,0,6,4.1,225166.33,7.9793,7.3026,7,2,5,Sole Proprietor,7,10.6,0,3,125638.38,110942.75,CA,1
587,1335103.81,1186383.37,541511,2,1,0,10,1.2,326948.17,16.4651,17.7724,3,2,7,Corp,5,47.5,1,2,207857.04,203662.6,WA,1
625,555419.11,662479.82,621111,6,3,0,7,9.3,283435.59,19.7841,18.5587,1,1,5,LLC,8,29.5,1,3,263292.66,239064.77,TX,1
659,1203887.62,1263461.52,445110,5,1,0,19,11.7,210650.05,9.6452,9.5299,8,1,8,Corp,5,15.5,0,2,109266.95,111231.61,TX,0
628,473006.51,479638.16,236220,5,2,1,12,5.3,126504.44,13.8515,14.9628,7,1,2,Corp,6,50.7,0,1,107136.54,97499.57,FL,1
623,1664836.39,1932567.68,621111,3,3,1,22,19.9,77211.25,12.9787,12.4265,1,2,8,Partnership,1,21.9,2,2,72060.92,71068.78,GA,0
649,1337412.5,1669362.16,484110,4,1,0,29,11.7,85226.49,12.8583,12.0031,1,3,7,Sole Proprietor,1,31.3,1,2,64680.36,62186.25,OH,0
756,868285.78,841945.43,484110,1,1,1,1,9.3,189539.26,14.1001,15.7348,8,4,6,Sole Proprietor,1,13.2,0,1,123488.34,106663.5,WA,0
708,363722.1,370099.49,621111,1,4,1,0,9.7,110318.67,9.9142,10.8351,6,4,3,Corp,7,47.1,1,1,103313.36,89740.19,AZ,1
568,433695,399655.64,531210,6,5,1,0,7.4,328110.22,3.5368,3.3889,2,1,6,Sole Proprietor,4,6.7,1,2,202828.66,191050.56,CA,1
661,319507.89,391722.67,541511,4,3,0,7,11.2,94479.03,12.0561,11.9164,2,1,4,Partnership,8,32.1,2,3,71762.17,73406.93,TX,1
532,351372.31,353129.25,238210,3,3,1,5,3.1,166901.93,6.3802,6.6942,2,5,6,Corp,8,21.4,0,2,118443.11,113810.08,FL,1
577,776692.3,922360.28,238210,6,3,0,7,16.1,269979.01,15.9506,17.7412,4,5,5,Sole Proprietor,4,28.8,0,0,206625.71,192654.52,IL,0
677,513056.51,556060.38,541511,6,2,1,0,6.7,377671.72,8.3994,7.9411,6,3,8,Corp,6,20.2,2,0,317413.27,312961.97,GA,1
644,1031121.5,1019347.69,238210,1,1,1,9,22,412911.87,6.2388,5.7564,1,6,2,Partnership,3,48,1,2,236634.8,204403.92,OH,0
726,1719426.58,1674697.23,621111,2,4,1,20,9.2,345919.79,9.0903,9.501,4,1,4,LLC,6,43,0,2,182240.46,173332.26,OH,0
571,693364.15,614829.69,541511,1,4,0,0,7,65963.98,10.196,10.5088,1,2,3,Sole Proprietor,7,31.3,1,3,35957.25,31291.02,WA,1
564,1423655.39,1420023.2,445110,3,2,1,20,12.5,122872.74,16.5538,14.9838,1,6,9,Corp,8,25.2,1,2,64611.74,56429.21,NC,1
656,923348.81,1135922.96,238210,4,5,0,25,14.8,602792.67,8.298,9.1488,4,6,1,LLC,3,25.5,1,2,354657.06,366635.73,NY,0
639,1264564.65,1564980.94,445110,6,2,0,8,16.8,73807.11,9.1491,9.6106,7,4,7,LLC,6,28.9,2,1,55591.31,52068.17,TX,1
579,187301.74,184874.49,445110,2,4,1,21,9,310227.81,15.4385,14.2128,2,4,5,Sole Proprietor,9,33.3,1,2,284141.42,273981.27,NC,1
623,729446.35,769921.44,722511,4,5,1,8,13.2,30762.37,9.7106,10.2002,3,4,1,Corp,8,33.7,4,2,17707.8,15205.13,GA,1
723,1501432.77,1434989.65,722511,2,5,0,7,12.4,76110.39,7.7765,7.4874,7,2,2,LLC,4,16.4,0,1,49364.35,47079.77,NC,0
590,1019359.73,868939.91,238210,1,5,1,20,11,215598.09,15.4425,14.5235,7,6,6,Corp,4,17.5,2,1,153802.07,135638.78,GA,1
625,393296.73,400424,238210,3,3,0,5,7.5,299049.21,10.2743,10.6248,8,5,9,LLC,5,33,1,4,134601.72,128777.23,WA,1
553,1652189.73,1736933.08,445110,1,4,0,14,5.9,187942.68,7.7571,7.9905,4,4,1,Corp,6,41.8,2,1,160966.17,149371.23,IL,1
610,692058.05,817722.67,445110,1,3,1,17,22,110529.72,9.3874,8.4999,7,6,3,LLC,5,16.7,1,1,80359.19,83340.17,FL,0
604,1140002.31,1170665.19,238210,3,3,0,8,8,222711.7,4.4589,4.7963,5,5,3,Corp,4,30.4,0,2,110788.26,110231.11,TX,0
713,1004305.8,982103.02,722511,4,3,0,28,10.4,158757.18,9.9296,9.3695,6,3,4,LLC,5,19.1,0,0,93954.51,97089.83,TX,0
565,160167.73,193373.54,238210,2,3,1,13,2,86019.19,12.7467,13.2642,1,2,3,Corp,5,37,0,2,67579.73,62602.2,IL,1
673,3503024.23,3630055.43,445110,2,1,0,1,15.7,138478.06,8.9585,8.6635,6,1,5,LLC,4,24,1,1,126954.43,123482.45,IL,0
580,804667.47,942837.51,541511,2,1,0,9,14.5,213480.86,16.6318,16.6735,5,1,3,Corp,9,14.3,1,2,124601.6,121173.7,OH,1
678,2573917.7,3049564.29,484110,2,4,0,26,13.4,197423.84,11.536,12.9245,2,3,2,LLC,3,29.9,2,1,186106.02,170574.7,NC,0
500,939976.64,919439.64,541511,4,2,1,16,4.5,174254.49,11.3314,11.2118,8,2,8,Partnership,4,20.4,2,3,126045.61,107703.59,OH,1
705,300924.93,303893.57,722511,1,1,1,13,9.9,166727.71,4.4592,4.5109,4,4,8,Corp,7,37.4,1,0,133791.97,136464.85,FL,0
534,637199.82,569414.05,531210,3,5,1,6,9.6,180066.73,13.4252,12.3574,5,1,2,Sole Proprietor,4,17.2,1,3,156347.55,160831.1,OH,1
695,781769.66,939339.38,236220,1,2,1,12,13,352308.75,7.0004,8.0377,3,6,9,Partnership,4,29.9,1,1,299610.97,291657.46,AZ,0
691,406845.57,382405.46,722511,2,3,0,23,14.3,85528.06,17.4678,17.0205,2,3,6,LLC,4,4.3,1,1,46632.19,44245.81,NY,0
681,1326872.13,1645149.32,445110,5,1,1,9,18,121720.89,10.0847,11.3145,8,5,5,LLC,3,62.4,1,1,110120.99,110418.36,NY,0
544,232491.2,246061.24,238210,3,1,1,5,11.3,51391.62,9.446,10.7656,5,4,8,Corp,6,21.3,1,1,40102.39,42021.17,IL,1
593,960616.97,897132.25,531210,4,3,0,20,14.4,220692.13,10.5794,10.4416,3,2,1,Sole Proprietor,4,46,1,2,207959.96,212101.98,CA,0
544,281239.74,339352.4,531210,4,4,0,3,0.5,64837.06,11.8403,12.0186,5,6,4,LLC,7,40.8,2,3,51523.97,49585.09,GA,1
730,527297.84,571887.06,484110,5,1,1,12,13.1,88791.27,7.7075,7.7858,1,4,8,Partnership,3,25.5,1,0,50829.43,49281.58,FL,0
731,704395.98,664757.37,238210,2,1,0,17,12.1,171140.29,10.4544,10.5045,8,2,9,Corp,8,18.6,2,2,140965.41,147429.85,NC,0
592,958498.18,1153725.86,445110,5,2,0,10,12.4,200332.57,5.3691,5.0972,8,2,8,Sole Proprietor,2,4,0,1,144702.94,130201.18,FL,0
709,1073726.09,1163519.99,484110,1,3,0,21,10.7,94545.4,7.8014,7.2193,7,2,5,Corp,2,33.8,0,1,49107.36,49717.26,FL,0
707,2294873.59,1983743.65,541511,3,3,1,12,0.5,252235.91,12.7428,12.1872,4,1,6,Corp,6,14.6,1,1,165061.05,147486.29,AZ,1
601,344158.93,340749.03,236220,2,2,1,0,6.7,280291.42,14.2692,15.978,6,6,3,Partnership,7,13.5,2,1,220157.89,207159.45,FL,1
753,459520.15,493402.15,445110,1,4,0,20,4.4,193324.77,8.5418,9.7055,4,2,7,LLC,5,31.5,0,0,117857.06,110403.84,WA,0
567,1296959.1,1576641.22,484110,3,3,1,4,7.9,109923.08,15.3111,13.9281,1,5,5,Sole Proprietor,6,39.5,3,2,93063.3,92798.28,NC,1
704,366855.89,365730.05,236220,1,1,0,10,9.1,269027.57,3.5,3.7778,7,1,3,Sole Proprietor,4,11.3,3,0,194598.69,173936,NY,0
657,730779.52,750046.39,445110,5,5,0,9,3.1,71567.61,12.8774,12.9796,7,1,3,Sole Proprietor,6,50.4,3,2,48368.03,48104.07,TX,1
633,334508.6,367062.82,238210,3,1,1,14,4.3,274054.08,6.9186,7.9338,2,1,7,Partnership,4,40.5,0,1,161851.44,157262.74,TX,0
663,1825142.34,1763520.14,541511,6,4,0,15,6.6,116381.93,10.8301,12.1433,7,3,7,Sole Proprietor,3,3.5,0,0,54972.74,50824.28,FL,0
692,609451.84,707596.22,722511,4,2,1,21,11.3,133785.12,5.5031,5.8373,8,2,7,Corp,4,33.2,1,1,61539.14,59543.64,GA,0
615,1558086.14,1449274.11,531210,1,5,0,9,9.2,271172.28,10.2327,10.3869,7,4,8,LLC,5,30.7,1,1,184739.7,162848.54,FL,1
624,1260906.73,1073960.93,621111,1,2,0,23,7.9,67125.87,8.505,9.7206,8,2,4,Sole Proprietor,1,16.7,1,1,35851.89,33157.71,WA,0
500,667230.15,786964.04,236220,3,5,0,10,7.5,277825.43,8.2811,9.491,4,3,9,Partnership,6,30.6,1,2,204387.11,183494.46,NY,1
500,577409.32,523236.82,484110,2,5,1,16,9.3,114752.31,16.4828,16.1628,4,4,4,LLC,6,29.1,2,3,79345.93,80729.75,NC,1
713,1654195.13,1603078.95,531210,6,3,1,18,23.5,154299.11,7.3358,8.2346,6,5,4,LLC,7,22.7,2,0,131105.34,133877.49,AZ,0
591,602285.27,684861.05,531210,6,3,0,4,8.1,86745.34,13.8419,15.4009,1,6,6,LLC,8,43.9,3,2,72879.16,68934.5,TX,1
694,545676.85,606778.54,531210,3,1,1,12,3.1,320034.31,10.2138,9.8076,3,1,8,Partnership,3,23.2,1,2,162877.54,147109.35,FL,1
727,967958.51,895767.91,621111,1,2,0,11,8.1,123141.18,3.5,3.3251,5,1,1,LLC,3,27.2,0,2,88901.24,91178.47,NY,0
677,735855.12,754006.46,541511,6,1,1,3,9.2,233415.49,9.3099,9.4914,4,6,4,Sole Proprietor,7,27,2,2,117561.16,111627.79,CA,1
706,2105941.47,1918786.54,238210,5,2,1,18,5.7,97891.41,9.8188,10.3934,8,1,1,Corp,3,40.6,0,1,82565.6,70344.88,NY,0
689,890741.86,1000931.09,531210,3,1,0,8,13.6,123919.53,13.4939,12.7613,7,1,1,Partnership,8,41.4,2,1,63024.85,54544.29,NY,0
702,296728.79,329984.9,531210,3,2,0,10,6,190958.32,15.0568,14.5969,5,1,3,LLC,8,5.3,0,0,143200.08,145130.19,CA,1
559,755926.32,747027.39,722511,1,3,1,18,5.9,155971.41,13.3673,12.5114,7,5,5,Corp,6,21.2,1,2,103762.03,96226.17,WA,1
698,565688.53,538510.65,236220,4,4,0,17,11.7,134851.97,8.3628,8.2739,6,5,9,Sole Proprietor,8,47.4,1,0,121105.49,113034.29,OH,0
579,564191.84,479797.35,484110,4,5,1,11,0.5,192383.1,15.4083,16.6302,6,3,4,Sole Proprietor,9,21,2,4,179330.47,167735.38,NY,1
569,614674.07,645786.64,236220,5,3,1,4,8.9,173159.74,12.3433,12.4785,2,6,5,Partnership,5,22.2,0,0,106687.57,101401.8,WA,1
635,2569769.27,2360396.61,722511,6,2,1,17,7.6,140188.14,8.5614,9.8028,7,4,1,Corp,6,28,0,0,72675.36,65939.03,CA,0
669,1856505.79,1770061.7,484110,6,4,1,22,3.4,162206.79,10.3491,10.1212,2,6,2,Partnership,4,26.2,0,1,137175.49,141238.23,TX,0
605,519318.64,577821.12,531210,1,5,0,2,5.9,77154.48,11.5871,13.1989,8,4,3,Partnership,7,31.4,1,0,51903.71,53913.79,GA,1
638,500967.45,488781.12,445110,6,5,0,14,9.8,212919.83,8.0488,8.353,1,2,5,Sole Proprietor,9,4.6,0,2,175003.95,178915.38,FL,1
695,2177731.15,2602881.03,484110,6,4,1,14,4,179372.45,10.4506,10.3101,4,5,2,Partnership,1,2.2,2,1,100130.32,100757.12,NY,0
702,1572824.77,1861768.58,621111,4,3,1,24,20.6,186961.54,10.1968,10.3672,3,1,4,Sole Proprietor,4,20,0,0,147071.46,144981.8,FL,0
563,2067966.22,2250797.34,445110,2,4,0,11,3.7,69542.78,13.911,12.8492,2,4,1,Partnership,6,43.3,3,2,47406.61,49101.98,WA,1
696,750424.37,897778.89,541511,3,3,1,14,18.7,150003.27,8.0542,8.8612,4,3,6,Partnership,5,25.8,1,0,110384.7,113366.03,OH,0
617,816525.35,703965.09,541511,5,1,0,8,11,108229.43,14.2897,15.7083,8,6,5,Sole Proprietor,8,6.9,0,3,95557.04,81479.06,NC,1
686,693637.59,823512.76,445110,6,2,1,26,6.5,345856.43,5.5863,6.0651,5,2,5,Partnership,7,22.5,1,2,322585.54,306535.63,WA,0
722,571733.63,641703.64,722511,4,2,0,17,21.2,86286.66,7.7223,7.6995,2,4,9,Corp,6,56.1,1,1,44261.45,46113.53,TX,0
706,591391.31,737504.21,621111,5,5,1,19,13.4,85089.43,3.7071,4.1457,7,5,7,LLC,2,39.8,2,0,40264.88,35784.22,IL,0
631,1283208.35,1101002.36,238210,5,3,0,16,11,74094.4,5.8957,5.5424,6,5,8,Partnership,7,25.9,1,2,47118.67,46684.99,GA,0
607,1727749.99,1573806.11,484110,3,4,1,21,12,329039.12,9.166,10.4205,7,5,2,Partnership,3,46.8,1,2,181348.95,172943.98,NY,0
660,879109.45,1032936.8,238210,4,5,1,20,16.9,219813.1,10.7101,10.1309,2,2,8,Corp,1,14.5,0,0,126667.67,113629.87,NY,0
732,452948.16,464250.41,621111,2,5,1,17,13.1,117423.23,10.1606,10.3967,1,4,3,Corp,3,28.5,1,1,105068.71,91603.52,IL,0
647,221625.73,257276.69,541511,1,1,0,18,3.8,138011.17,7.2463,7.4803,7,6,1,LLC,5,25.7,1,2,102715.77,97944.41,NC,1
558,572920.58,656062.25,236220,2,2,1,3,14.9,357064.11,11.8554,12.1642,7,4,7,Partnership,6,26,1,2,256897.23,260452.68,IL,1
720,1758558.04,1597136.43,484110,5,5,1,15,13.3,190838.06,8.5671,9.1414,6,2,6,Partnership,6,28.9,0,2,145363.87,129764.64,NC,0
619,1461474.72,1760691.89,541511,1,2,0,14,9,127691.79,12.7817,11.9923,6,2,2,Partnership,6,32.4,3,2,93822.75,84343.55,NC,1
713,1775024.11,1947094.81,531210,1,4,0,10,19.1,97599.07,3.8628,3.5205,1,4,9,LLC,3,45.3,1,1,84520.87,86808.69,IL,0
554,1275551.19,1182109.27,531210,6,5,0,10,9.4,261741.3,7.9747,7.62,3,5,2,Partnership,6,40,3,0,204064.75,177743.59,FL,1
697,1033458.4,1031632.23,236220,2,2,0,2,9.7,57246.76,11.3682,12.3207,8,3,5,Corp,5,39.5,2,0,44625.39,40397.47,IL,0
669,1075256.59,1043321.91,445110,4,1,1,10,16,253938.44,16.131,15.5359,1,3,4,Corp,5,8.8,1,3,120343.39,122411.1,IL,0
